"","actor","location","start_date","end_date","ended","est_fat","org"
"1","1920 Revolution Brigades","Iraq","2007-02-09","2007-12-07",1,25,1
"2","Abgal clan","Somalia","2008-01-09","2008-12-26",1,31,3
"3","Abudu","Ghana","2002-03-27","2002-03-27",1,36,3
"4","Supporters of ACN","Nigeria","2008-01-14","2008-04-22",1,33,2
"5","Supporters of ACN","Nigeria","2008-01-14","2011-10-17",1,26,2
"6","Supporters of AD","Nigeria","2003-03-12","2003-07-11",1,29,2
"7","Afar","Ethiopia","2002-06-30","",0,29,3
"8","Afar","Ethiopia","2002-06-30","2003-01-31",1,40,3
"9","Afar","Ethiopia","2000-05-01","2002-12-10",1,75,3
"10","Abtisame subclan of Galje'el clan","Somalia","2001-08-27","2004-02-04",1,26,3
"11","Agon-Yar subclan of Abgal clan","Somalia","1999-10-15","2002-11-20",1,94,3
"12","Ahlu Sunna Waljamaca","Somalia","2008-12-02","",0,64,1
"13","Ahlu Sunna Waljamaca","Somalia","2008-12-02","",0,548,1
"14","Ahlu Sunna Waljamaca","Somalia","2008-12-02","2010-12-05",1,202,1
"15","Ali-Gaf subclan of Abgal clan","Somalia","2002-08-18","2002-08-23",1,37,3
"16","Alur","DR Congo","2002-01-31","2002-01-31",1,50,3
"17","Amaro","Ethiopia","2006-10-16","2006-10-16",1,30,3
"18","Supporters of ANPP","Nigeria","1998-10-31","",0,66,2
"19","Supporters of ANPP","Nigeria","1998-10-31","2004-05-28",1,439,2
"20","Ansaar ul-Islam","Pakistan","2007-03-16","",0,34,1
"21","Ansaar ul-Islam","Pakistan","2007-03-16","",0,88,1
"22","Ansaar ul-Islam","Pakistan","2007-03-16","2009-12-26",1,48,1
"23","Ansar al-Islam","Iraq","2001-09-23","",0,85,1
"24","Ansar al-Islam","Iraq","2001-09-23","",0,66,1
"25","Ansar al-Islam","Iraq","2001-09-23","2004-12-04",1,126,1
"26","Anuak","Ethiopia","2002-11-27","2002-12-01",1,41,3
"27","Anuak","Ethiopia","1997-01-19","",0,101,3
"28","Anuak","Ethiopia","1997-01-19","2003-12-14",1,36,3
"29","Anuak","Ethiopia","1997-01-19","2016-04-24",1,28,3
"30","Agar Dinka","Sudan","2006-07-18","2006-07-18",1,60,3
"31","ARPCT","Somalia","2006-02-18","2006-08-30",1,562,1
"32","Arrow Boys","Uganda","2003-09-28","2003-12-16",1,71,1
"33","AUC","Colombia","1997-05-12","",0,46,1
"34","AUC","Colombia","1997-05-12","",0,136,1
"35","AUC","Colombia","1997-05-12","",0,143,1
"36","AUC","Colombia","1997-05-12","",0,265,1
"37","AUC","Ecuador, Colombia","1997-05-12","",0,474,1
"38","AUC","Colombia","1997-05-12","",0,581,1
"39","AUC","Colombia","1997-05-12","",0,68,1
"40","AUC","Colombia","1997-05-12","",0,255,1
"41","AUC","Colombia","1997-05-12","2005-10-28",1,190,1
"42","Bangadi Militia","DR Congo","2008-10-20","2008-10-20",1,27,1
"43","Bangesh","Pakistan","2008-04-08","",0,449,3
"44","Bangesh","Pakistan","2008-04-08","2009-07-01",1,115,3
"45","Bena Kapuya","DR Congo","2007-09-20","2007-09-22",1,25,3
"46","Bi'idyahan subclan of Majerteen clan","Ethiopia","2003-12-31","2003-12-31",1,280,3
"47","Supporters of Awami League","Bangladesh","1989-09-07","2001-10-03",1,56,2
"48","Bokora Karimojong","Uganda","2003-01-12","2003-05-22",1,102,3
"49","Bokora Karimojong","Uganda","2003-01-12","2007-05-12",1,34,3
"50","Bokora Karimojong","Uganda","2001-01-24","2003-01-12",1,30,3
"51","Bokora Karimojong","Uganda","2001-01-24","2005-09-19",1,28,3
"52","Bor Dinka","Sudan","2007-07-31","2007-11-30",1,106,3
"53","Bor Dinka","South Sudan","2007-07-31","",0,44,3
"54","Bor Dinka","South Sudan","2007-07-31","2012-12-28",1,118,3
"55","Bor Dinka","South Sudan","2007-07-31","2017-11-28",1,96,3
"56","Borana","Ethiopia","1991-07-31","2006-06-12",1,101,3
"57","Borana","Ethiopia","2007-10-03","2008-07-31",1,46,3
"58","Borana","Ethiopia","1992-01-20","1992-06-30",1,381,3
"59","Burji","Ethiopia","2006-10-02","2006-10-06",1,37,3
"60","CNDD-FDD","Burundi","2003-09-06","",0,43,1
"61","CNDD-FDD","Burundi","2003-09-06","2004-11-11",1,54,1
